"FilePath","FileName","Module","TotalFunctions","StubCount","Stubs","DivergenceOnStubs","HasDivergenceIssue"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\Core.cpp","Core.cpp","Core","15","4","DumpAllocs; Exit; Heap; HeapCheck","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnArc.cpp","UnArc.cpp","Core","4","1","FArchive","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnBits.cpp","UnBits.cpp","Core","23","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnCache.cpp","UnCache.cpp","Core","11","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnClass.cpp","UnClass.cpp","Core","36","3","UField; UField::Bind; UField::GetPropertiesSize","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnCorObj.cpp","UnCorObj.cpp","Core","11","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnExport.cpp","UnExport.cpp","Core","14","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnFile.cpp","UnFile.cpp","Core","147","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnLinker.cpp","UnLinker.cpp","Core","33","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnLog.cpp","UnLog.cpp","Core","12","2","FFrame::Serialize; FNullOutError::Serialize","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnMath.cpp","UnMath.cpp","Core","66","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnMem.cpp","UnMem.cpp","Core","12","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnName.cpp","UnName.cpp","Core","7","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnNet.cpp","UnNet.cpp","Core","13","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnObj.cpp","UnObj.cpp","Core","135","20","UObject::AddRef; UObject::CacheDrivers; UObject::CheckDanglingOuter; UObject::CheckDanglingRefs; UObject::FindArrayProperty; UObject::FindBoolProperty; UObject::FindFloatProperty; UObject::FindFNameProperty; UObject::FindIntProperty; UObject::FindObjectProperty; UObject::FindStructProperty; UObject::IsInState; UObject::IsPendingDelete; UObject::IsPendingKill; UObject::NetDirty; UObject::ProcessRemoteFunction; UObject::ProcessState; UObject::Release; UObject::ShutdownAfterError; UObject::StaticConstructor","UObject::CacheDrivers; UObject::IsPendingKill","YES"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnProp.cpp","UnProp.cpp","Core","184","16","UArrayProperty::CleanupDestroyed; UFixedArrayProperty::AddCppProperty; UFixedArrayProperty::CleanupDestroyed; UFixedArrayProperty::ExportCppItem; UMapProperty::CopySingleValue; UMapProperty::DestroyValue; UMapProperty::ExportCppItem; UMapProperty::SerializeItem; UObjectProperty::CleanupDestroyed; UProperty; UProperty::CleanupDestroyed; UProperty::DestroyValue; UProperty::ExportCppItem; UProperty::ExportCppItem; UProperty::SerializeItem; UStructProperty::CleanupDestroyed","UProperty::DestroyValue","YES"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnRange.cpp","UnRange.cpp","Core","19","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnScript.cpp","UnScript.cpp","Core","329","0","","","NO"
"C:\Users\danpo\Desktop\rvs\src\Core\Src\UnStream.cpp","UnStream.cpp","Core","20","1","if","if","YES"
"C:\Users\danpo\Desktop\rvs\src\D3DDrv\Src\D3DDrv.cpp","D3DDrv.cpp","D3DDrv","34","4","UD3DRenderDevice::HandleFullScreenEffects; UD3DRenderDevice::SetEmulationMode; UD3DRenderDevice::StartVideo; UD3DRenderDevice::StaticConstructor","","NO"
