
FileName                        Module        TotalFunctions StubCount
--------                        ------        -------------- ---------
Core.cpp                        Core                      15         4
UnArc.cpp                       Core                       4         1
UnBits.cpp                      Core                      23         0
UnCache.cpp                     Core                      11         0
UnClass.cpp                     Core                      36         3
UnCorObj.cpp                    Core                      11         0
UnExport.cpp                    Core                      14         0
UnFile.cpp                      Core                     147         0
UnLinker.cpp                    Core                      33         0
UnLog.cpp                       Core                      12         2
UnMath.cpp                      Core                      66         0
UnMem.cpp                       Core                      12         0
UnName.cpp                      Core                       7         0
UnNet.cpp                       Core                      13         0
UnObj.cpp                       Core                     135        20
UnProp.cpp                      Core                     184        16
UnRange.cpp                     Core                      19         0
UnScript.cpp                    Core                     329         0
UnStream.cpp                    Core                      20         1
D3DDrv.cpp                      D3DDrv                    34         4
DareAudio.cpp                   DareAudio                 74         9
Engine.cpp                      Engine                    46        23
EngineAux.cpp                   Engine                    10         5
EngineClassImpl.cpp             Engine                    77         6
EngineEvents.cpp                Engine                   214         0
EngineLinkerShims.cpp           Engine                     1         1
KarmaSupport.cpp                Engine                    18        12
NullDrv.cpp                     Engine                    27        25
R6EngineIntegration.cpp         Engine                    45        29
UnActCol.cpp                    Engine                    42        10
UnActor.cpp                     Engine                   329        46
UnAudio.cpp                     Engine                    18         1
UnCamera.cpp                    Engine                    70        33
UnCanvas.cpp                    Engine                    32         9
UnChan.cpp                      Engine                    45        17
UnConn.cpp                      Engine                    29        12
UnDownload.cpp                  Engine                    23         5
UnEffects.cpp                   Engine                     7         0
UnEmitter.cpp                   Engine                    45        17
UnFluidSurface.cpp              Engine                    33        10
UnFont.cpp                      Engine                     3         1
UnFPoly.cpp                     Engine                    25         0
UnGame.cpp                      Engine                    37        25
UnIn.cpp                        Engine                    26        13
UnLevAct.cpp                    Engine                     1         0
UnLevel.cpp                     Engine                   107        26
UnMaterial.cpp                  Engine                    50         6
UnMesh.cpp                      Engine                    40         4
UnMeshInstance.cpp              Engine                   166        40
UnModel.cpp                     Engine                    32        22
UnMover.cpp                     Engine                    24         1
UnNavigation.cpp                Engine                    85        18
UnNetDrv.cpp                    Engine                    45        21
